from_url,from_title,link_type,to_url,to_title,suggested_anchor,to_status
"/services/ai-automation","AI Automation in the UAE: The Complete Guide for Business Owners","down (to child)","/blog/first-90-days-ai-automation/","Your First 90 Days of AI Automation: A Step-by-Step Plan for UAE SMEs","how to start with ai automation","new"
"/services/ai-automation","AI Automation in the UAE: The Complete Guide for Business Owners","down (to child)","/blog/what-to-automate-first/","What to Automate First: The Process Selection Framework","what business processes to automate","new"
"/services/ai-automation","AI Automation in the UAE: The Complete Guide for Business Owners","down (to child)","/services/ai-agents/sales","AI for Sales Teams: The Complete Automation Stack","ai for sales teams","live"
"/services/ai-automation","AI Automation in the UAE: The Complete Guide for Business Owners","down (to child)","/services/ai-agents/customer-support","AI for Customer Service: What to Automate and What to Never Touch","ai for customer service","live"
"/services/ai-automation","AI Automation in the UAE: The Complete Guide for Business Owners","down (to child)","/services/ai-automation/finance/","AI for Finance and Accounts Teams in the UAE","ai for finance teams","new"
"/services/ai-automation","AI Automation in the UAE: The Complete Guide for Business Owners","down (to child)","/blog/ai-for-hr/","AI for HR and Recruitment in the UAE","ai for hr","overlap"
"/services/ai-automation","AI Automation in the UAE: The Complete Guide for Business Owners","down (to child)","/industries/marketing","AI for Marketing Teams: Beyond Writing Blog Posts","ai for marketing teams","live"
"/services/ai-automation","AI Automation in the UAE: The Complete Guide for Business Owners","down (to child)","/services/ai-automation/operations/","AI for Operations and Admin: The Back-Office Automation Guide","ai for operations","new"
"/services/ai-automation","AI Automation in the UAE: The Complete Guide for Business Owners","down (to child)","/services/ai-automation/procurement/","AI for Procurement and Supplier Management","ai for procurement","new"
"/services/ai-automation","AI Automation in the UAE: The Complete Guide for Business Owners","down (to child)","/blog/aeo-geo-guide/","Getting Your Business Cited by ChatGPT, Perplexity and AI Overviews (AEO/GEO)","answer engine optimization","new"
"/services/ai-automation","AI Automation in the UAE: The Complete Guide for Business Owners","down (to child)","/blog/ai-change-management/","Getting Your Team to Actually Use AI: A 30-Day Change Management Plan","ai change management for employees","new"
