"batch","order","id","action","page_type","lang","level","phase","cluster","url","title","gloss","primary_keyword","intent","competition","word_count","link_up","link_across_1","link_across_2","link_across_3","link_down_count","link_down","link_to_service_page","total_internal_links","cta","note","live_page_words"
"B01","1","20","EXISTS PARTLY — differentiate or merge","BLOG ARTICLE (/blog)","en","Pillar","1","AI Agents & Automation Foundations","/blog/ai-agents-vs-chatbots-vs-rpa/","AI Agents vs Chatbots vs RPA vs Workflow Automation: What You Actually Need","","ai agents vs chatbots","TOFU","Med","2500-3500","AI Agents for Business: What They Are, What They Cost and What They Actually Do → /services/ai-agents","Multi-Agent Systems for Business: When One Agent Is Not Enough → /blog/multi-agent-systems/","RAG for Business: Making an AI Answer From Your Documents, Not Its Imagination → /blog/rag-guide/","Is Your Data Ready for AI? The Readiness Audit to Run Before You Spend a Dirham → /services/ai-strategy/data-readiness/","5","/blog/ai-agents-vs-rpa/ | /blog/chatbot-vs-ai-agent/ | /blog/do-i-need-ai-for-my-business/ | /blog/no-code-vs-custom-ai/ | /blog/copilot-vs-agent/","","9","","","1831"
"B01","2","21","WRITE","BLOG ARTICLE (/blog)","en","Pillar","1","AI Agents & Automation Foundations","/blog/first-90-days-ai-automation/","Your First 90 Days of AI Automation: A Step-by-Step Plan for UAE SMEs","","how to start with ai automation","TOFU","Low","2500-3500","AI Automation in the UAE: The Complete Guide for Business Owners → /services/ai-automation","What to Automate First: The Process Selection Framework → /blog/what-to-automate-first/","AI for Sales Teams: The Complete Automation Stack → /services/ai-agents/sales","AI for Customer Service: What to Automate and What to Never Touch → /services/ai-agents/customer-support","8","/blog/business-process-audit-for-ai/ | /blog/ai-pilot-project/ | /blog/quick-ai-automation-wins/ | /blog/ai-automation-small-business-uae/ | /blog/ai-pilot-to-production/ | /blog/why-ai-projects-fail/ | /blog/ai-automation-roadmap/ | /blog/who-manages-ai-agents-internally/","","12","","",""
"B01","3","22","WRITE","BLOG ARTICLE (/blog)","en","Pillar","1","AI Agents & Automation Foundations","/blog/what-to-automate-first/","What to Automate First: The Process Selection Framework","","what business processes to automate","TOFU","Med","2500-3500","AI Automation in the UAE: The Complete Guide for Business Owners → /services/ai-automation","AI for Sales Teams: The Complete Automation Stack → /services/ai-agents/sales","AI for Customer Service: What to Automate and What to Never Touch → /services/ai-agents/customer-support","AI for Finance and Accounts Teams in the UAE → /services/ai-automation/finance/","5","/blog/which-processes-to-automate/ | /blog/process-mapping-before-automation/ | /blog/what-not-to-automate/ | /blog/time-audit-template-business/ | /blog/ai-vs-hiring-staff-uae/","","9","","",""
"B01","4","23","EXISTS PARTLY — differentiate or merge","BLOG ARTICLE (/blog)","en","Pillar","1","AI Agents & Automation Foundations","/blog/multi-agent-systems/","Multi-Agent Systems for Business: When One Agent Is Not Enough","","multi agent systems business","MOFU","Med","2500-3500","AI Agents for Business: What They Are, What They Cost and What They Actually Do → /services/ai-agents","RAG for Business: Making an AI Answer From Your Documents, Not Its Imagination → /blog/rag-guide/","Is Your Data Ready for AI? The Readiness Audit to Run Before You Spend a Dirham → /services/ai-strategy/data-readiness/","Prompt Engineering & Optimization for UAE Businesses → /services/prompt-engineering","4","/blog/when-to-use-multi-agent-systems/ | /blog/multi-agent-architecture/ | /blog/agent-handoff-design/ | /blog/multi-agent-system-cost/","","8","","","2034"
"B01","5","3","EXISTS PARTLY — differentiate or merge","PAGE (/services, /industries)","en","Cornerstone","1","Chatbots & Conversational AI","/services/ai-chatbot-development/","AI Chatbot Development in the UAE: The Complete Buyer's Guide","","ai chatbot development uae","MOFU","High","4500-6000","","","","","6","/blog/chatbot-types/ | /blog/website-chatbot/ | /blog/customer-support-automation/ | /blog/chatbot-training/ | /blog/chatbot-platform-comparison/ | /services/custom-gpt-development","","6","Get a fixed-scope chatbot quote in three working days.","","1659"
"B01","6","24","WRITE","BLOG ARTICLE (/blog)","en","Pillar","1","Chatbots & Conversational AI","/blog/chatbot-types/","The Six Types of Business Chatbot, and Which One Your Company Needs","","types of chatbots for business","TOFU","Med","2500-3500","AI Chatbot Development in the UAE: The Complete Buyer's Guide → /services/ai-chatbot-development/","Website AI Chatbots: Design, Placement and the Conversion Numbers That Matter → /blog/website-chatbot/","Customer Support Automation with AI: The Complete Implementation Guide → /blog/customer-support-automation/","How to Train a Chatbot on Your Own Business Knowledge → /blog/chatbot-training/","5","/blog/rule-based-vs-ai-chatbot/ | /blog/types-of-business-chatbots/ | /blog/internal-vs-customer-facing-chatbot/ | /blog/multilingual-chatbot-uae/ | /blog/chatbot-vs-voice-bot/","","9","","",""
"B01","7","27","WRITE","BLOG ARTICLE (/blog)","en","Pillar","1","Chatbots & Conversational AI","/blog/chatbot-training/","How to Train a Chatbot on Your Own Business Knowledge","","train chatbot on company data","MOFU","Med","2500-3500","AI Chatbot Development in the UAE: The Complete Buyer's Guide → /services/ai-chatbot-development/","The UAE Chatbot Platform Shortlist: Honest Comparison of the Real Options → /blog/chatbot-platform-comparison/","Custom AI Assistant Development for UAE Businesses → /services/custom-gpt-development","The Six Types of Business Chatbot, and Which One Your Company Needs → /blog/chatbot-types/","6","/blog/chatbot-knowledge-base-setup/ | /blog/how-much-data-to-train-a-chatbot/ | /blog/keeping-chatbot-answers-up-to-date/ | /blog/chatbot-testing-checklist/ | /blog/fine-tuning-vs-rag/ | /blog/chatbot-fallback-design/","","10","","",""
"B01","8","28","WRITE","PAGE (/services, /industries)","en","Pillar","1","Voice AI & Phone Automation","/services/ai-agents/receptionist/","The AI Receptionist: Answering Every Call Without Hiring Anyone","","ai receptionist","MOFU","Med","2500-3500","AI Voice Agents: The Complete Guide to Phone Automation for Gulf Businesses → /services/ai-agents/voice-agents","Outbound AI Calling: Where It Works, Where It Backfires, and the UAE Rules → /blog/outbound-voice-ai/","How an AI Voice Agent Is Actually Built: The Full Stack Explained → /blog/voice-ai-stack/","Voice AI Platforms Compared: Vapi, Retell, Bland, ElevenLabs and Building Your Own → /blog/voice-platform-comparison/","6","/blog/ai-receptionist-vs-human/ | /blog/what-can-an-ai-receptionist-do/ | /blog/ai-call-routing/ | /blog/ai-answering-service-uae/ | /blog/after-hours-call-answering-uae/ | /blog/replace-ivr-with-ai/","","10","","",""
"B01","9","29","WRITE","BLOG ARTICLE (/blog)","en","Pillar","1","Voice AI & Phone Automation","/blog/outbound-voice-ai/","Outbound AI Calling: Where It Works, Where It Backfires, and the UAE Rules","","outbound ai calling","MOFU","Med","2500-3500","AI Voice Agents: The Complete Guide to Phone Automation for Gulf Businesses → /services/ai-agents/voice-agents","How an AI Voice Agent Is Actually Built: The Full Stack Explained → /blog/voice-ai-stack/","Voice AI Platforms Compared: Vapi, Retell, Bland, ElevenLabs and Building Your Own → /blog/voice-platform-comparison/","The AI Receptionist: Answering Every Call Without Hiring Anyone → /services/ai-agents/receptionist/","6","/blog/uae-telemarketing-rules-ai-calls/ | /blog/ai-payment-reminder-calls/ | /blog/ai-calling-old-leads/ | /blog/ai-confirmation-calls/ | /blog/ai-call-disclosure/ | /blog/ai-cold-calling/","","10","","",""
"B01","10","30","WRITE","BLOG ARTICLE (/blog)","en","Pillar","1","Voice AI & Phone Automation","/blog/voice-ai-stack/","How an AI Voice Agent Is Actually Built: The Full Stack Explained","","how ai voice agents work","MOFU","Low","2500-3500","AI Voice Agents: The Complete Guide to Phone Automation for Gulf Businesses → /services/ai-agents/voice-agents","Voice AI Platforms Compared: Vapi, Retell, Bland, ElevenLabs and Building Your Own → /blog/voice-platform-comparison/","The AI Receptionist: Answering Every Call Without Hiring Anyone → /services/ai-agents/receptionist/","Outbound AI Calling: Where It Works, Where It Backfires, and the UAE Rules → /blog/outbound-voice-ai/","9","/blog/arabic-speech-recognition-accuracy/ | /blog/voice-ai-latency/ | /blog/natural-ai-voice-quality/ | /blog/voice-agent-interruption-handling/ | /blog/uae-telephony-ai-integration/ | /blog/call-recording-consent-uae/ | /blog/voice-agent-testing-checklist/ | /blog/ai-voice-agent-cost-per-minute/ | /blog/voice-agent-crm-integration/","","13","","",""
